title,authors,publisher,language,isbn_10,isbn_13
Artificial Intelligence - Intelligent Art?,"Eckard Voigts-Virchow, Robin Markus Auer, Dietmar Elflein, Sebastian Kunas, Jan Röhnert, Christoph Seelinger","transcript publishing (August 27, 2024); eBook (Creative Commons Licensed)",English,383766922X,978-3837669220
Artificial Intelligence: Structures and Strategies for Complex Problem Solving,George F. Luger,"Pearson, 6 edition (March 7, 2008); eBook (5th Edition)",English,0321545893,978-0321545893
Artificial Intelligence Technology,Huawei,Springer; 1st ed. 2023 edition; eBook (Open Access Edition),English,9811928789,978-9811928789
Artificial Intelligence and Evaluation: Emerging Technologies and Their Implications for Evaluation,"Steffen Bohni Nielsen, Francesco Mazzeo Rinaldi, Gustav Jakob Petersson","Routledge; 1st edition (September 25, 2024); eBook (Creative Commons Licensed)",English,1032843896,978-1032843896
Artificial Intelligence and Games,"Georgios N. Yannakakis, Julian Togelius",Springer (2025); eBook (Online Editions),English,3031833465,978-3031833465
Artificial Intelligence and Librarianship,Martin Frické,"SoftOption, Ltd. (2024); eBook (Creative Commons Licensed)",English,N/A,978-0-473-72294-4
Artificial Intelligence and Machine Learning in Health Care and Medical Sciences,"Gyorgy J. Simon, Constantin Aliferis","Springer; 2024th edition (March 5, 2024); eBook (Creative Commons Licensed)",English,3031393546,978-3031393549
Artificial Intelligence and Molecular Biology,Lawrence E. Hunter,"AAAI Press; First. edition (March 18, 1993)",English,0262581159,978-0262581158
Artificial Intelligence and Systems of the Earth,Michel Speiser,"CRC Press; 1st edition (October 18, 2024); eBook (Creative Commons Licensed)",English,1032710500,978-1032710501
Artificial Intelligence for Big Data,"Anand Deshpande , Manish Kumar","Packt Publishing (May 22, 2018); eBook (Free Edition)",English,1788628845/B07DGKXDLK,978-1788628846
Artificial Intelligence for Digitising Industry – Applications,Ovidiu Vermesan,"River Publishers; 1st edition (September 30, 2021); eBook (Open Access Edition)",English,8770226644,978-8770226646
Artificial Intelligence for a Better Future,Bernd Carsten Stahl,Springer; 1st ed. 2021 edition; eBook (Open Access Edition),English,3030699773,978-3030699772/978-3030699789
Artificial Intelligence through Prolog,Neil C. Rowe,"Prentice Hall; 2nd edition (January 1, 1988)",English,0130486795,978-0130486790
"AI Crash Course: A fun and hands-on introduction to machine learning, reinforcement learning, deep learning, and artificial intelligence with Python",Hadelin de Ponteves,Packt Publishing; eBook (Free eBook by the Publisher),English,1838645357,978-1838645359
"Belief State Planning for Autonomous Driving: Planning with Interaction, Uncertain Prediction and Uncertain Perception",Constantin Hubmann,"KIT Scientific Publishing (September 13, 2021); eBook (Creative Commons Licensed)",English,3731510391,978-3731510390
Master Logical Analysis with ChatGPT,GPT Guru,"Smashwords (Feb 9, 2024)",English,B0CVZMXQTY,979-8224835881
Big Data and Artificial Intelligence in Digital Finance,"John Soldatos, Dimosthenis Kyriazis","Springer; 1st ed. 2022 edition (April 30, 2022); eBook (Creative Commons Licensed)",English,3030668932,978-3030668938
Bio-Inspired Computational Algorithms and Their Applications,Shangce Gao,"InTech (March 07, 2012)",English,N/A,978-953-51-0214-4
"Brain, Vision and AI",Cesare Rossi,IN-TECH (January 2008); eBook (Creative Commons Licensed),English,N/A,978-953-7619-04-6
Building the Second Mind: 1956 and the Origins of Artificial Intelligence Computing,Rebecca E. Skinner,"University of California at Berkeley (May 19, 2013)",English,B00CWH5Z4U,9781476357638
"Building the Second Mind, 1961-1980: From the Ascendancy of ARPA to the Advent of Commercial Expert Systems",Rebecca E. Skinner,"University of California at Berkeley (April 27, 2014)",English,B00K02VJ4O,978-0989454346
Clever Algorithms: Nature-Inspired Programming Recipes,Jason Brownlee,"lulu.com (June 15, 2012)",English,1446785068,978-1446785065
Common LISP: A Gentle Introduction to Symbolic Computation,David S. Touretzky,"Dover Publications; Revised edition (January 24, 2013)",English,0486498204,978-0486498201
Computational Engineering of Historical Memories,Andrea Nanetti,"Routledge; 1st edition (September 26, 2022); eBook (Creative Commons Licensed)",English,1032316802,978-1032316802
Computers and Thought: A Practical Introduction to Artificial Intelligence,"Mike Sharples, David Hogg, Steve Torrance, David Young, Chris Hutchinson",A Bradford Book; eBook (Online Edition by Cogsweb Project),English,0521519004,978-0521519007
Conceptive C,Harry McGeough,"CreateSpace (January 22, 2012)",English,1469957396,978-1469957395
"Demystifying Artificial Intelligence: Symbolic, Data-Driven, Statistical and Ethical AI",Emmanuel Gillain,"De Gruyter; 1st edition (July 22, 2024); eBook (Creative Commons Licensed)",English,3111425673,978-3111425672
Essentials of Metaheuristics,Sean Luke,lulu.com; 2nd Edition; eBook (Creative Commons Licensed),English,1300549629,978-1300549628
Expert Systems in Prolog,Dennis Merritt,"Springer; Softcover reprint of the original 1st ed. 1989 edition (October 24, 2011)",English,1461389135,978-1461389132
From Bricks to Brains: The Embodied Cognitive Science of LEGO Robots,"Michael Dawson, Brian Dupuis, Michael Wilson",UBC Press; eBook (Creative Commons Licensed),English,1897425783,978-1897425787
From Data to Intelligence: An Introduction to Machine Learning and Artificial Intelligence,Manfred Füllsack,Graz University Library Publishing (2024); eBook (Creative Commons Licensed),English,N/A,978-3-903374-31-7
"Fuzzy Logic - Controls, Concepts, Theories and Applications",Elmer P. Dadios,"InTechOpen (March 28, 2012)",English,9535103962,978-9535103967; eBook (PDF): 978-953-51-4314-7
Fuzzy Logic - Emerging Technologies and Applications,Elmer P. Dadios,IN-TECH (March 2012),English,N/A,978-953-51-0337-0
Game AI Pro: Collected Wisdom of Game AI Professionals,Steven Rabin,"A K Peters/CRC Press; 1st edition (June 22, 2017); eBook (Online Edition, 2021)",English,1498742580,978-1498742580
Generative AI in Higher Education: The ChatGPT Effect,"Cecilia Ka Yuk Chan, Tom Colloton","Routledge; 1st edition (March 21, 2024); eBook (Creative Commons Licensed)",English,1032599049,978-1032599045
Genetic Algorithms and Genetic Programming: Modern Concepts and Practical Applications,"Michael Affenzeller, Stefan Wagner, Stephan Winkler, Andreas Beham","Chapman and Hall/CRC; 1st edition (April 16, 2018); eBook (Creative Commons Licensed)",English,1138114278,978-1138114272
Genetic Algorithms in Applications,Rustem Popa,IN-TECH;,English,N/A,978-953-51-0400-1
Genetic Programming - New Approaches and Successful Applications,Sebastian Ventura,"IN-TECH (October 18, 2012)",English,N/A,978-953-51-0809-2
"Global Optimization Algorithms: Theory and Application, 3rd Edition",Thomas Weise,Thomas Weise (2011),English,N/A,N/A
"Gradient Expectations: Structure, Origins, and Synthesis of Predictive Neural Networks",Keith L. Downing,"The MIT Press (July 18, 2023); eBook (Creative Commons Licensed)",English,0262545616,978-0262545617
"HPC, Big Data, and AI Convergence Towards Exascale","Olivier Terzo, Jan Martinovic","CRC Press; 1st edition (December 28, 2021); eBook (Creative Commons Licensed)",English,1032009845,978-1032009841
Handbook of Digital Face Manipulation and Detection: From DeepFakes to Morphing Attacks,"Christian Rathgeb, Ruben Tolosana, Ruben Vera-Rodriguez, Christoph Busch","Springer; 1st ed. (February 1, 2022); eBook (Creative Commons Licensed)",English,3030876667,978-3030876661
How Humans Judge Machines,"Cesar A. Hidalgo, Diana Orghiain, Jordi Albo Canals, Filipa de Almeida and Natalia Martin","The MIT Press (February 2, 2021); eBook (MIT Open Access Edition)",English,0262045524,978-0262045520
Inductive Logic Programming: Techniques and Applications,Nada Lavrac and Saso Dzeroski,"Ellis Horwood, New York, 1994",English,0134578708,978-0134578705
Industrial Artificial Intelligence Technologies and Applications,"Ovidiu Vermesan, Franz Wotawa, Mario Diaz Nava, Björn Debaillie","River Publishers; 1st edition (September 11, 2023); eBook (Open Access Edition)",English,8770227918,978-8770227919
"Introduction to AI Safety, Ethics, and Society",Dan Hendrycks,"CRC Press; 1st edition (December 31, 2024); eBook (Creative Commons Licensed)",English,1032869925,978-1032869926
Introduction to Soft Computing,Eva Volna,VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY,English,N/A,978-8740303919
Learning Deep Architectures for AI,Yoshua Bengio,"Now Publishers Inc (October 28, 2009)",English,1601982941,978-1601982940
Linguistics for the Age of AI,"Marjorie McShane, Sergei Nirenburg","The MIT Press (March 2, 2021); eBook (MIT Open Access Edition)",English,0262045583,978-0262045582
"Logic, Programming and Prolog, 2nd Edition",Ulf Nilsson and Jan Maluszynski,"John Wiley & Sons Inc, 2 edition (August 1995), eBook (2000)",English,0471959960,978-0471959960
Logic Programming in Scheme,Nils M. Holm,"Lulu.com (2nd Edition, December 15, 2012); eBook (2007)",English,N/A,N/A
Logic for Computer Science: Foundations of Automatic Theorem Proving,Jean H. Gallier,"Dover Publications; (June 18, 2015); eBook (Second Edition)",English,0486780821,978-0486780825
"Machine Learning, Neural and Statistical Classification","Donald Michie, David Spiegelhalter, Charles Taylor","Prentice Hall; eBook (Overseas Press Edition, August 28, 2019)",English,8188689734 (1004 Edition: 013106360X),978-8188689736 (1994 Edition: 978-0131063600)
Machine Learning Using C# Succinctly,James McCaffrey,Syncfusion Inc. (2014),English,,N/A
Making AI Intelligible: Philosophical Foundations,Herman Cappelen and Josh Dever,"Oxford University Press (June 22, 2021); eBook (Open Access Edition)",English,0192894722,978-0192894724
Mathematical Aspects of Logic Programming Semantics,"Pascal Hitzler, Anthony Seda","CRC Press; 1st edition (June 14, 2017); eBook (Open Acess by Taylor & Francis Group)",English,1138114227/B00OD4KH4I,978-1138114227
"Mind, Body, World: Foundations of Cognitive Science",Michael R.W. Dawson,"AU Press (May 1, 2013); eBook (Creative Commons Licensed)",English,1927356172,978-1927356173
Mission AI: The New System Technology,"Haroon Sheikh, Corien Prins, Erik Schrijvers","Springer; 1st ed. (January 31, 2023); eBook (Creative Commons Licensed)",English,3031214471,978-3031214479
Modeling Creativity: Case Studies in Python,Tom De Smedt,Uitgeverij UPA University Press Antwerp; eBook (Creative Commons Licensed),English,9057182602,978-9057182600
New Applications of Artificial Intelligence,"Pedro Ponce, Arturo Molina Gutierrez and Jaime Rodriguez","InTech (August 31, 2016)",English,N/A,"978-9535125358, Print ISBN 978-9535125341"
On the Path to AI: Conceptual Foundations of the Machine Learning Age,"Thomas D. Grant, Damon J. Wischik","Palgrave Macmillan; 1st ed. (June 25, 2020); eBook (Creative Commons Licensed)",English,3030435814,978-3030435813
Paradigms of Artificial Intelligence Programming: Case Studies in Common Lisp,Peter Norvig,"Morgan Kaufmann; 1 edition; eBook (MIT Licensed, 2018)",English,1558601910,978-1558601918
Pattern Recognition and Machine Learning,Christopher M. Bishop,"Springer (August 17, 2006); eBook (PDF by Microsoft)",English,0387310738,978-0387310732
Planning Algorithms,Steven M. LaValle,"Cambridge University Press (May 29, 2006)",English,0521862051,978-0521862059
"Practical Artificial Intelligence Programming in Java, Fifth Edition",Mark Watson,"Leanpub (Fifth Edition, July 2020); eBook (Create Commons Edition)",English,N/A,N/A
Prolog Programming for Artificial Intelligence,Ivan Bratko,Pearson Education Canada; 4th edition; eBook (Online Edition),English,0321417461,978-0321417466
Queer Reflections on AI: Uncertain Intelligences,"Michael Klipphahn-Karge, Ann-Kathrin Koster, Sara Morais dos Santos Bruss","Routledge; 1st edition (July 17, 2023); eBook (Open Access Edition)",English,103240521X,978-1032405216
"Reinforcement Learning: An Introduction, Second Edition",Richard S. Sutton and Andrew G. Barto,"MIT Press, Cambridge, MA, 2018; eBook (Creative Commons Licensed)",English,0262039249,978-0262039246
Responsible Use of AI in Military Systems,Jan Maarten Schraagen,"Chapman and Hall/CRC; 1st edition (April 26, 2024); eBook (Creative Commons Licensed)",English,1032524308,978-1032524306
Robots and AI: A New Economic Era,"Lili Yan Ing, Gene M. Grossman","Routledge; 1st edition (June 12, 2022); eBook (Open Access/Creative Commons Edition)",English,B0B3DPVK3V,978-1032230665
Shape Interrogation for Computer Aided Design and Manufacturing,"Nicholas M. Patrikalakis, Takashi Maekawa","Springer; 1st ed. 2002, 2nd corr. printing. edition (December 22, 2009)",English,364204073X,978-3642040733
Simply Logical: Intelligent Reasoning by Example,Peter Flach,"Wiley; 1 edition (January 15, 1994); eBook (2007)",English,0471941522,978-0471941521
The AI Expedition: From Basics to Brilliance,Manas Joshi,"Smashwords (Sep 9, 2023)",English,B0CHXQRD78,979-8223953807
The Age of Intelligent Machines,Ray Kurzweil,"The MIT Press (January 30, 1992)",English,0262610795,978-0262610797
The Amazing Journey of Reason: from DNA to Artificial Intelligence,Mario Alemi,Springer; 1st ed. 2020 edition; eBook (Creative Commons Licensed),English,3030259617,978-3030259617
The Future of American Intelligence,Peter Berkowitz,"Hoover Institution Press; 1st edition (October 31, 2005)",English,0817946624,978-0817946623
The Future of Machine Intelligence: Perspectives from Leading Practitioners,David Beyer,"O’Reilly Media Inc. (February 29, 2016)",English,N/A,978-1491932308
"The LION Way: Machine Learning plus Intelligent Optimization, Version 3.0",Roberto Battiti and Mauro Brunato,"CreateSpace (2014); eBook (University of Trento, 2023, Creative Commons Licensed)",English,1496034023,978-1496034021
The Quest for Artificial Intelligence: A History of Ideas and Achievements,Nils J. Nilsson,"Cambridge University Press (October 30, 2009); eBook (Web Version, Stanford University, 2010)",English,0521122937,978-0521122931
The Road to General Intelligence,"Jerry Swan, Eric Nivel, Neel Kant, Jules Hedges, Timothy Atkinson, Bas Steunebrink",Springer; 2022th edition; eBook (Creative Commons Licensed),English,303108019X,978-3031080197
The Very Long Game: 25 Case Studies on the Global State of Defense AI,"Heiko Borchert, Torben Schütz, Joseph Verbovszky","Springer; 2024th edition (July 19, 2024); eBook (Creative Commons Licensed)",English,3031586484,978-3031586484
Thinking with AI: Machine Learning the Humanities,Hannes Bajohr,"Open Humanities Press (March 31, 2025); eBook (Creative Commons Licensed)",English,1785421417,978-1785421419
Unlocking Artificial Intelligence: From Theory to Applications,"Christopher Mutschler, Christian Münzenmayer, Norman Uhlmann, Alexander Martin","Springer; 2024th edition (July 30, 2024); eBook (Creative Commons Licensed)",English,3031648315,978-3031648311
"What Is Intelligence? Lessons from AI About Evolution, Computing, and Minds",Blaise Agüera y Arcas,The MIT Press (2025); eBook (Creative Commons Licensed),English,0262049953,978-0262049955
What Was Artificial Intelligence?,Sue Curry Jansen,"Mediastudies.Press (April 1, 2022); eBook (Creative Commons Licensed)",English,1951399064,978-1951399061
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Eye, Brain, and Vision",David H. Hubel,"W. H. Freeman; 2nd edition (May 15, 1995)",English,0716760096,978-0716760092
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Recent Advances in Face Recognition,"Kresimir Delac, Mislav Grgic and Marian Stewart Bartlett",IN-TECH; eBook (Creative Commons Licensed),English,,978-953-7619-34-3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
